Name,Description,Script
Sentry Gun (LV3),[sword]6 dmg + [fire]2 burn,attack(6); sfxdamage(6[;] target); inflict(FIRE[;] 2); sfx(~_fire~[;] ~~[;] 0.2);
Dispenser (LV0),No effect,
Dispenser (LV1),Recover [heal]1 health,attackself(-1); sfx(~_heal~);
Dispenser (LV2),Recover [heal]2 health,attackself(-2); sfx(~_heal~);
Dispenser (LV3),Recover [heal]3 health,attackself(-3); sfx(~_heal~);
Teleporter (LV0),No effect,
Teleporter (LV1),Reduce by [reduce]1 (once),inflictself(REDUCE); sfx(~_shield~); Gadget.changegadget(self[;] ~Teleporter (LV1)~[;] ~Teleporter (LV0)~);
Teleporter (LV2),Dodge [dodge]1 (once),inflictself(DODGE); sfx(~_dodge~); Gadget.changegadget(self[;] ~Teleporter (LV2)~[;] ~Teleporter (LV0)~);
Teleporter (LV3),Get an extra turn (once),inflictself(EXTRATURN); sfx(~_recycle~); Gadget.changegadget(self[;] ~Teleporter (LV3)~[;] ~Teleporter (LV0)~);
Drill,Reactivate gadgets,Gadget.reactivate(self[;] ALL); sfx(~_recycle~);
Fair Trade,Swap one item,sfx(~_whoosh~); var myitem = rand(getequipmentlist(self)); var enemyitem = rand(getequipmentlist(target)); if (myitem != null && enemyitem != null) {var myitemactual = null; for (eq in self.equipment) if (eq.name + eq.namemodifier == myitem) myitemactual = eq; replacemewith(enemyitem[;] 1[;] myitemactual[;] self); removeequipment(enemyitem[;] target); giveenemyequipment(myitem[;] false[;] false);}
Make a Gadget,and disable 2 items,var possibleeq = []; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.skillcard == ~~ && eq.ready) possibleeq.push(eq); if (possibleeq.length >= 2) {shuffle(possibleeq); var gadgeteq = [possibleeq.pop()[;] possibleeq.pop()]; sfx(~_metals~); sfx(~_thinghappens~); for (myeq in gadgeteq) {myeq.animation = []; myeq.animate(~curse~); myeq.animation[0].parameter[2] = ~[cog] Destroyed!~; myeq.ready = false;} var newgadget = rand([~Stardust~[;] ~Power Up~[;] ~Throw Dice~[;] ~Time Stop~[;] ~Blood Sip~[;] ~Infinity Mirror~[;] ~Megaflip~[;] ~Magic Six~[;] ~Bubble Gun~[;] ~Catapult~[;] ~Dramatic Pause~[;] ~Quick Thinking~[;] ~Random Roll~[;] ~Arctic Storm~[;] ~Pillow Fort~[;] ~Zap~[;] ~Ember~[;] ~Mumble~[;] ~Needle~[;] ~Efficiency~[;] ~Scream~[;] ~Harvest~[;] ~Overload~[;] ~Dial Up Sounds~[;] ~Magic Spanner~[;] ~Replicate~[;] ~Flash Freeze~[;] ~Refinery~[;] ~Mailbox~[;] ~Megaflick~[;] ~Ice Torch~[;] ~Lockdown~[;] ~Battery~]); Gadget.changegadget(self[;] Gadget.getcurrentgadget(self)[;] newgadget); Gadget.reactivate(self[;] newgadget);} Gadget.reactivate(self[;] ~Make a Gadget~);
Black Hole,-1 enemy dice,sfx(~_blind~); target.extradice--; if ((target.dice + target.extradice) < 1) target.extradice = 1 - target.dice;
Guarding Charm,Block [shield]8 damage,sfx(~_shield~); inflictself(SHIELD[;] 8);
Underflow,Receive a -1,givedice([-1]);
Battery,+3 to limit break,var addlimit = 3; if (self.limitvalue + addlimit > self.limitmax) {if (self.limitvalue < self.limitmax) addlimit = self.limitmax - self.limitvalue; else addlimit = 0;} self.limitvalue += addlimit; sfx(~_cure~);
Water Bucket,Extinguish dice,for (mydice in self.dicepool) {mydice.burn = false; if (mydice.overlayimage == ~fire~) {mydice.overlayimage = ~~; mydice.showoverlayimage = false;}}
Lockdown,Inflict [lock]1 lock,inflict(LOCK); sfx(~_lock~[;] ~~[;] 0.2);
Ice Torch,[fire]Burn and [ice]freeze,inflict(FIRE); inflict(ICE); sfx(~_fire~); sfx(~_ice~);
Unlimited,No effect,
Stargazing,Dodge [dodge]2 attacks,sfx(~_dodge~); inflictself(DODGE[;] 2);
mqtimerfix,Internal script for timer equipment,for (eq in self.equipment) if (eq.scriptonanyequipmentuse != null && eq.scriptonanyequipmentuse != ~~ && eq.scriptonanyequipmentuse.indexOf(~mqtimer_equipment_use_check~) == -1) {eq.scriptonanyequipmentuse = ~if (e.getvar(\~mqtimer_equipment_use_check\~) < self.equipmentused) {~ + eq.scriptonanyequipmentuse + ~} e.setvar(\~mqtimer_equipment_use_check\~[;] self.equipmentused);~;}
mqheliuminit,Internal script for Helium equipment,if (getstatusself(~mqhelium~) <= 0) {inflictself(~mqhelium~); sfx(~helium_fly~); if (self.equipment.length > 0) for (eq in self.equipment) eq.setvar(~mqhelium_speed~[;] 0); var actHelium = new motion.actuators.SimpleActuator(null[;] 0[;] null); actHelium.repeat(-1); var funcHelium = new hscript.Parser().parseString(~if (getstatusself(\~mqhelium\~) <= 0 # self.hp <= 0 # target.hp <= 0) actHelium._repeat = 0; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.ready && eq.skillcard == \~\~ && (eq.getvar(\~mqhelium_affected\~) == 1 # eq.script.indexOf(\~/*mqhelium\~) != -1)) {var tags = eq.script.substr(eq.script.indexOf(\~/*mqhelium\~) + 10[;] eq.script.substr(eq.script.indexOf(\~/*mqhelium\~) + 10).indexOf(\~*/\~)).split(\~:\~); var helium_multiplier = 1 + (tags.indexOf(\~double\~) != -1 ? 0.5 : 0) - (tags.indexOf(\~half\~) != -1 ? 0.5 : 0) - getstatusself(\~mqheliumreduction\~) / 100; if (helium_multiplier < 0) helium_multiplier = 0; eq.y = eq.y - eq.getvar(\~mqhelium_speed\~) * helium_multiplier; eq.setvar(\~mqhelium_speed\~[;] eq.getvar(\~mqhelium_speed\~) + 1); if (eq.y <= -eq.height / 3 * 2) {sfx(\~helium_pop\~); eq.animate(\~curse\~); eq.ready = false; eq.animation[0].parameter[2] = \~[star] Pop!\~; eq.animation[0].command[5] = \~\~;}}~); var interp = new hscript.Interp(); interp.variables.set(~self~[;] self); interp.variables.set(~target~[;] target); interp.variables.set(~getstatusself~[;] getstatusself); interp.variables.set(~sfx~[;] sfx); interp.variables.set(~actHelium~[;] actHelium); interp.variables.set(~trace~[;] trace); actHelium.onRepeat(interp.execute[;] [funcHelium]); actHelium.move();}
mqgetequipmentlist,Internal script. Sets the user's mqallequipment to a list of all non-special equipment,self.setvar(~mqallequipment~[;] getequipmentlist());
mqgetloadedmods,Internal script. Sets the user's mqloadedmods to an array of some loaded mods,var loadedmods = []; if (getequipmentlist().indexOf(~Helium Balloon~) != -1) loadedmods.push(~morefluff~); self.setvar(~mqloadedmods~[;] loadedmods);
mqrepeatingjinx,Internal script that inflicts a jinx that repeats itself every few turns,var i = self.getvar(~mqrepeatingjinx_current_index~); var execscr = ~ self.setvar(\~mqrepeatingjinx_current_index\~[;] ~ + i + ~); new elements.Skill(\~mqrepeatingjinx\~).execute(self.getvar(\~mqrepeatingjinx_self_\~ + ~ + i + ~)[;] self.getvar(\~mqrepeatingjinx_target_\~ + ~ + i + ~));~; if (target != self.getvar(~mqrepeatingjinx_target_~ + i)) execscr = ~ target.setvar(\~mqrepeatingjinx_current_index\~[;] ~ + i + ~); new elements.Skill(\~mqrepeatingjinx\~).execute(target.getvar(\~mqrepeatingjinx_target_\~ + ~ + i + ~)[;] target.getvar(\~mqrepeatingjinx_self_\~ + ~ + i + ~));~; jinx(self.getvar(~mqrepeatingjinx_title_~ + i)[;] self.getvar(~mqrepeatingjinx_details_status_~ + i) + ~[;] then do it again in ~ + self.getvar(~mqrepeatingjinx_turns_~ + i) + ~ turn~ + (self.getvar(~mqrepeatingjinx_turns_~ + i) > 1 ? ~s~ : ~~)[;] self.getvar(~mqrepeatingjinx_details_~ + i)[;] self.getvar(~mqrepeatingjinx_script_~ + i) + execscr[;] self.getvar(~mqrepeatingjinx_target_~ + i)[;] self.getvar(~mqrepeatingjinx_self_~ + i)[;] self.getvar(~mqrepeatingjinx_turns_~ + i)[;] self.getvar(~mqrepeatingjinx_value_~ + i)); for (eq in self.equipment) eq.scriptaftercombat += ~ var vars = [\~current_index\~[;] \~next_index\~[;] \~title\~[;] \~details_status\~[;] \~details\~[;] \~script\~[;] \~target\~[;] \~self\~[;] \~turns\~[;] \~value\~]; for (_var in vars) self.setvar(\~mqrepeatingjinx_\~ + _var + \~_\~ + ~ + i + ~[;] 0);~;
mqelementalresistancefix,Internal script. Makes elemental strengths and weaknesses cancel each other out; applies strength/weakness display statuses and removes them; removes duplicate elemental resistance innates,var elements = [~fire~[;] ~ice~[;] ~shock~[;] ~poison~]; var remove_innates = []; for (element in elements) {if (self.innate.indexOf(~weak~ + element) != -1 && self.innate.indexOf(~strong~ + element) != -1) {self.innate.remove(~weak~ + element); removestatusself(~mqweakness~ + element); self.innate.remove(~strong~ + element); removestatusself(~mqstrength~ + element);} if (self.innate.indexOf(~strong~ + element) != -1 && getstatusself(~mqstrength~ + element) <= 0) inflictself(~mqstrength~ + element); if (self.innate.indexOf(~weak~ + element) != -1 && getstatusself(~mqweakness~ + element) <= 0) inflictself(~mqweakness~ + element); var strengths = 0; var weaknesses = 0; if (self.innate.length > 0) for (innate in self.innate) {if (innate == ~strong~ + element) {strengths++; if (strengths > 1) remove_innates.push(innate);} if (innate == ~weak~ + element) {weaknesses++; if (weaknesses > 1) remove_innates.push(innate);}}} if (remove_innates.length > 0) {for (innate in remove_innates) self.innate.remove(innate);}
mqelementalresistancefixboth,Internal script. Executes mqelementalresistancefix for self and target,new elements.Skill(~mqelementalresistancefix~).execute(self[;] self); new elements.Skill(~mqelementalresistancefix~).execute(target[;] target);
mqfinalroundinit,Internal script for Final Round,self.setvar(~finalround_progress~[;] 0); var enemies = [~Warrior~[;] ~Thief~[;] ~Robot ~[;] ~Inventor~[;] ~Witch~[;] ~Jester~]; enemies.remove(self.name == ~Robot~ ? self.name + ~ ~ : self.name); self.setvar(~finalround_enemies~[;] enemies); switchenemy(target[;] self.getvar(~finalround_enemies~)[self.getvar(~finalround_progress~)]); var actFinalRound = new motion.actuators.SimpleActuator(null[;] 0[;] null); actFinalRound.repeat(-1); inflictself(~mqtimeruntilendcombat~); var funcFinalRound = new hscript.Parser().parseString(~if (getstatusself(\~mqtimeruntilendcombat\~) <= 0 # self.hp <= 0 # target.hp <= 0) actFinalRound._repeat = 0; if (target.hp <= 1 && getstatus(SURVIVE) <= 0 && self.getvar(\~finalround_progress\~) < (self.getvar(\~finalround_enemies\~).length - 1)) {self.setvar(\~finalround_progress\~[;] self.getvar(\~finalround_progress\~) + 1); switchenemy(target[;] self.getvar(\~finalround_enemies\~)[self.getvar(\~finalround_progress\~)]); var actDelayedFunction = new motion.actuators.SimpleActuator(null[;] 0.2[;] null); var skill = new elements.Skill(\~Unlimited\~); skill.script = new elements.Fighter(self.getvar(\~finalround_enemies\~)[self.getvar(\~finalround_progress\~)]).scriptbeforecombat; actDelayedFunction.onComplete(skill.execute[;] [target[;] self]); actDelayedFunction.move(); var remove_status = []; if (target.status.length > 0) for (status in target.status) if (!status.jinx) remove_status.push(status); if (remove_status.length > 0) for (status in remove_status) removestatus(status.type[;] ALL); inflict(\~mqtimeruntilendcombat\~); target.hp = target.maxhp; target.extradice = 0; sfx(\~defeatmonster\~); attackself(-50); if (self.dicepool.length >= 0) {inflictself(EXTRATURN); self.endturnnow();} else {target.endturnnow();}} if (getstatus(SURVIVE) <= 0 && self.getvar(\~finalround_progress\~) < (self.getvar(\~finalround_enemies\~).length - 1)) {inflict(SURVIVE); inflict(\~mqfinalround\~);} if (getstatus(SURVIVE) <= 0) removestatus(\~mqfinalround\~); if (target.equipment.length > 0) for (eq in target.equipment) if (eq.name.indexOf(\~Contestant Card\~) != -1) eq.skillcard = \~contestantcard\~; target.graphic.set_scale(0.66);~); var interp = new hscript.Interp(); interp.variables.set(~self~[;] self); interp.variables.set(~target~[;] target); interp.variables.set(~getstatus~[;] getstatus); interp.variables.set(~getstatusself~[;] getstatusself); interp.variables.set(~inflict~[;] inflict); interp.variables.set(~inflictself~[;] inflictself); interp.variables.set(~switchenemy~[;] switchenemy); interp.variables.set(~sfx~[;] sfx); interp.variables.set(~attackself~[;] attackself); interp.variables.set(~removestatus~[;] removestatus); interp.variables.set(~SURVIVE~[;] SURVIVE); interp.variables.set(~EXTRATURN~[;] EXTRATURN); interp.variables.set(~ALL~[;] ALL); interp.variables.set(~actFinalRound~[;] actFinalRound); interp.execute(funcFinalRound); actFinalRound.onRepeat(interp.execute[;] [funcFinalRound]); actFinalRound.move(); target.setvar(~Rules~[;] self.getvar(~Rules~)); target.setvar(~mqcustomscript~[;] {file: ~mqenemylimitbreak~[;] variables: [{name: ~Rules~[;] value: self.getvar(~Rules~)}]}); new elements.Skill(~mqcustomscript~).execute(target[;] self); target.setvar(~Rules~[;] 0); self.setvar(~Rules~[;] 0);
mqrobotcalculate,Internal script for Enemy Robot calculate simulation,var rolled = rand([1[;] 2[;] 3[;] 4[;] 5[;] 6]); if (self.roll_total + rolled > self.roll_target && self.getvar(~mqrobotfakecpu_guaranteedjackpot~) == 1 && self.roll_jackpot <= 0) rolled = self.roll_target - self.roll_total; givedice(rolled); var mydice = self.dicepool[self.dicepool.length - 1]; var robotstatus = self.getvar(~mqrobotstatus~); if (robotstatus.length > 0) for (status in robotstatus) if (status.value > 0) {if (status.type == FIRE) {mydice.animate(~fire~); mydice.burn = true; status.value--;} if (status.type == ICE && !mydice.burn) {mydice.animate(~ice~); rolled = 1; status.value--;} if (status.type == LOCK) {mydice.animate(~lock~); status.value--;}} self.roll_totaldice++; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.locked > 0 && !eq.unlockedthisturn) {eq.unlocked = self.roll_totaldice; eq.unlockflash = 1;} sfx(~jackpot_rolldice~); for (i in 0...rolled) sfx(~jackpot_increasecounter~[;] ~~[;] 0.05 * (i + 1)); self.roll_total += rolled; self.roll_realtotal = self.roll_total; if (self.roll_total > self.roll_target) self.roll_total = self.roll_target; if (self.roll_realtotal > self.roll_target && self.roll_jackpot <= 0) {roboterror(self); sfx(~roboterror~);} if (self.roll_realtotal == self.roll_target && self.roll_jackpot <= 0) {sfx(~jackpot_autoroll~); var e = self.getvar(~mqrobotcalculatecard~); e.availablethisturn = true; e.animate(~~); e.animation[e.animation.length - 1].addcommand(~textparticle~[;] ~[star] Jackpot!~[;] 16777215); e.animate(~flashandshake~); e.changecolour(~YELLOW~); self.roll_jackpot = 1; target.roll_jackpot = 1; var randjackpotskill = rand([1[;] 2[;] 3]); if (randjackpotskill == 1) {attack(5); sfxdamage(target[;] 5);} if (randjackpotskill == 2) {attackself(-3); sfx(~_heal~);} if (randjackpotskill == 3) {new elements.Skill(~mqrobotcalculate~).execute(self[;] target);} inflictself(~mqrobotjackpot~ + randjackpotskill);} self.setvar(~mqrobotfakecpu_total~[;] self.roll_total); target.roll_totaldice = self.roll_totaldice;
mqjesterdeck,Internal script for Enemy Jester deck simulation,var availeq = 0; var hand = []; for (eq in self.equipment) if (eq.skillcard == ~~ && (eq.ready # (eq.y > 0 && eq.y < 2160)) && eq.equipalpha > 0.1) {availeq++; eq.size = 2; if (eq.ready && eq.getvar(~mqjesterdeckexistturns~) >= 2) {var already_added = false; if (hand.length > 0) for (card in hand) if (card.name == eq.name) {card.count++; card.name = eq.name; card.eqs.push(eq);} if (!already_added) hand.push({name: eq.name[;] count: 1[;] eqs: [eq]});}} if (hand.length > 0) for (card in hand) if (card.count > 1) {sfx(~jester_discard~); for (eq in card.eqs) {eq.animate(~curse~); var anim = eq.animation[eq.animation.length - 1]; anim.parameter[2] = ~[star] Discarded!~; anim.command[5] = ~~; eq.ready = false; eq.usedthisbattle = true;}} var tempdeck = self.getvar(~mqjesterdecktemp~); for (i in 0...3) if (tempdeck.length >= (i + 1)) self.setvar(~mqjesterdeck~ + (i + 1)[;] tempdeck[i]); else self.setvar(~mqjesterdeck~ + (i + 1)[;] ~~); self.setvar(~mqjesterdeckleft~[;] tempdeck.length); if (availeq < 3 && tempdeck.length > 0) {giveequipment(tempdeck.shift()[;] true[;] false); for (eq in self.equipment) eq.setvar(~mqjesterdeckexistturns~[;] eq.getvar(~mqjesterdeckexistturns~) + 1);} self.setvar(~mqjesterdecktemp~[;] tempdeck);
Headphones,Suppress [silence]1,inflictself(~mqsuppress~); sfx(~_silence~[;] ~~[;] 0.2);
mqsuppress,Internal script for Suppress status effect,if (self.scriptbeforestartturn.indexOf(~/*mqsuppress_script_injected*/~) == -1) {self.scriptbeforestartturn += ~ /*mqsuppress_script_injected*/ if (self.getvar(\~suppress_turn\~) != turn) {removestatusself(WEAKEN[;] getstatusself(\~mqsuppress_all\~) <= 0 ? getstatusself(\~mqsuppress\~) : getstatusself(\~mqsuppress\~)); removestatusself(\~mqsuppress\~[;] ALL); removestatusself(\~mqsuppress_all\~[;] ALL);} self.setvar(\~suppress_turn\~[;] turn);~;}
mqspecialdiceinit,Internal script for highlighting special dice,if (getstatusself(~mqspecialdice~) <= 0) {inflictself(~mqspecialdice~); var actSpecialDice = new motion.actuators.SimpleActuator(null[;] 1[;] null); actSpecialDice.repeat(-1); var funcSpecialDice = new hscript.Parser().parseString(~if (getstatusself(\~mqspecialdice\~) <= 0 # self.hp <= 0 # target.hp <= 0) actSpecialDice._repeat = 0; if (self.dicepool.length > 0) for (mydice in self.dicepool) if (mydice.available() && (mydice.basevalue < 1 # mydice.basevalue > 6)) {mydice.animate(\~\~); var anim = mydice.animation[mydice.animation.length - 1]; anim.addcommand(\~flash\~[;] null[;] 0.1); anim.addcommand(\~shake\~[;] null[;] 0[;] -4); anim.addcommand(\~textparticle\~[;] \~\~ + mydice.basevalue[;] 16777215);}~); var interp = new hscript.Interp(); interp.variables.set(~self~[;] self); interp.variables.set(~target~[;] target); interp.variables.set(~getstatusself~[;] getstatusself); interp.variables.set(~actSpecialDice~[;] actSpecialDice); actSpecialDice.onRepeat(interp.execute[;] [funcSpecialDice]); actSpecialDice.move();}
mqchoicemenu_open,Internal script for custom choice menu,function ceil(n) {var round = n - (n % 1); return round + (round == n ? 0 : 1);} if (self.getvar(~mqchoicemenu_open~) == 0) {self.setvar(~mqchoicemenu_open~[;] 1); if (!self.isplayer) target.setvar(~mqchoicemenu_enemy~[;] self); if (self.equipment.length > 0) for (eq in self.equipment) if (eq.ready && eq.getvar(~mqchoicemenu_moved~) == 0 && eq.getvar(~mqchoicemenu_header~) == 0) {eq.ready = false; eq.setvar(~mqchoicemenu_moved~[;] 1); eq.setvar(~mqchoicemenu_x~[;] eq.x); eq.finalpos = new openfl.geom.Point(eq.x < 3840 / 2 ? -eq.width : 3840 + eq.width[;] eq.y); var actMoveAway = new motion.actuators.SimpleActuator(eq[;] 0.75[;] {x: eq.finalpos.x}); actMoveAway.move();} var optionList = []; var _optionList = self.getvar(~mqchoicemenu_optionlist~); if (_optionList.length == null) _optionList = []; if (_optionList.length > 0) for (option in _optionList) optionList.push(option); if (self.getvar(~mqchoicemenu_shuffle~) == 1) shuffle(optionList); var myOptions = []; var baseOptions = self.getvar(~mqchoicemenu_baseoptions~); if (baseOptions > 0) for (i in 0...baseOptions) if (optionList.length > 0) myOptions.push(optionList.shift()); if (myOptions.length == 0) myOptions.push(~Generic Option@mqchoicemenu~); var c = 0; var rows = ceil(myOptions.length / 3); for (option in myOptions) {var eq = new elements.Equipment(option.big ? ~Generic Option@mqchoicemenu_big~ : ~Generic Option@mqchoicemenu~); eq.displayname = option.name; eq.fulldescription = option.description + (option.overridedescription ? ~~ : eq.fulldescription); eq.script = (option.script != null ? option.script : ~~) + ~ ~ + eq.script; eq.scriptbeforeexecute = eq.scriptbeforeexecute.split(~/*mqchoicemenu_script_start*/~)[0] + ~/*mqchoicemenu_script_start*/~ + (option.script_before_execute != null ? ~ ~ + option.script_before_execute : ~~) + ~ ~ + eq.scriptbeforeexecute.split(~/*mqchoicemenu_script_start*/~)[1]; eq.changecolour(option.colour); eq.setvar(~mqchoicemenu_option~[;] 1); eq.temporary_thisturnonly = true; eq.setvar(~mqchoicemenu_amitheenemy~[;] self.isplayer ? 0 : 1); self.equipment.push(eq); var row = ceil((c + 1) / 3); if (eq != null) {eq.x = 3840 / (row >= rows ? ((myOptions.length - 1) % 3) + 1 : 3) * ((c % 3) + 0.5) - eq.width / 2; eq.y = 2160 / 2 - 2160 * 0.3 + 2160 * 0.6 / rows * (row - 0.5) - eq.height / 2; if (rows >= 3) {eq.height = 330; if (eq.slotpositions.length > 0) for (slotposition in eq.slotpositions) {slotposition.x = eq.width + 30; slotposition.y = 0;} eq.x -= 160; eq.y += 141;} eq.equipalpha = 0; var actFadeIn = new motion.actuators.SimpleActuator(eq[;] 1[;] {equipalpha: 1}); actFadeIn.move();} c++;} var headerExists = false; for (eq in self.equipment) if (eq.getvar(~mqchoicemenu_header~) == 1) headerExists = true; if (!headerExists && self.isplayer) {var header = new elements.Equipment(~Menu Header@mqchoicemenu~); header.temporary_thisturnonly = true; self.equipment.push(header); header.x = 3840 / 2 - header.width / 2; header.y = 100; header.height = 0; header.setvar(~mqchoicemenu_header~[;] 1); var headerText = self.getvar(~mqchoicemenu_headertext~); if (headerText.length == null) headerText = ~~; header.displayname = ~[huge]~ + headerText + ~[]~;}}
mqchoicemenu_dismiss,Internal script for custom choice menu,self.setvar(~mqchoicemenu_open~[;] 0); var _skill = new elements.Skill(~Broken Gadget~); var _script_on_choose = self.getvar(~mqchoicemenu_script_on_choose~); if (_script_on_choose.length == null) _script_on_choose = ~~; _skill.script = _script_on_choose; _skill.execute(self[;] target); for (eq in self.equipment) if (eq.getvar(~mqchoicemenu_header~) == 1) {var headerText = self.getvar(~mqchoicemenu_headertext~); if (headerText.length == null) headerText = ~~; eq.displayname = ~[huge]~ + headerText + ~[]~;} if (self.equipment.length > 0) for (eq in self.equipment) if (eq.ready && eq.getvar(~mqchoicemenu_option~) == 1) {eq.ready = false; var actFadeOut = new motion.actuators.SimpleActuator(eq[;] 0.75[;] {equipalpha: 0}); actFadeOut.move();} if (self.getvar(~mqchoicemenu_extrachoices~) > 0) {new elements.Skill(~mqchoicemenu_open~).execute(self[;] target); self.setvar(~mqchoicemenu_extrachoices~[;] self.getvar(~mqchoicemenu_extrachoices~) - 1);} else {var actMain = new motion.actuators.SimpleActuator(null[;] 0.75[;] null); var mainFunc = new hscript.Parser().parseString(~if (self.equipment.length > 0) for (eq in self.equipment) if (eq.getvar(\~mqchoicemenu_moved\~) == 1) {eq.ready = true; eq.setvar(\~mqchoicemenu_moved\~[;] 0); eq.finalpos = new openfl.geom.Point(eq.getvar(\~mqchoicemenu_x\~)[;] eq.y); var actMoveBack = new motion.actuators.SimpleActuator(eq[;] 0.75[;] {x: eq.finalpos.x}); actMoveBack.move();}~); var interp = new hscript.Interp(); interp.variables.set(~self~[;] self); actMain.onComplete(interp.execute[;] [mainFunc]); actMain.move(); if (self.equipment.length > 0) for (eq in self.equipment) if (eq.getvar(~mqchoicemenu_header~) == 1) {eq.setvar(~mqchoicemenu_header~[;] 0); var actFadeOut = new motion.actuators.SimpleActuator(eq[;] 0.75[;] {equipalpha: 0}); actFadeOut.move();} self.setvar(~mqchoicemenu_shuffle~[;] 0); self.setvar(~mqchoicemenu_script_on_choose~[;] 0);}
mqchoicemenu_fixreequip_begin,Internal script for custom choice menu,self.setvar(~mqchoicemenu_reequip~[;] getstatusself(REEQUIPNEXT)); removestatusself(REEQUIPNEXT);
mqchoicemenu_fixreequip_end,Internal script for custom choice menu,if (self.getvar(~mqchoicemenu_reequip~) > 0) inflictself(REEQUIPNEXT[;] self.getvar(~mqchoicemenu_reequip~)); self.setvar(~mqchoicemenu_reequip~[;] 0);
mqchoicemenu_pickoption,Internal script for custom choice menu,new elements.Skill(~mqchoicemenu_dismiss~).execute(self[;] target); new elements.Skill(~mqchoicemenu_fixreequip_begin~).execute(self[;] target);
mqchoicemenu_tidy,Internal script for custom choice menu,if (self.equipment.length > 0) for (eq in self.equipment) eq.setvar(~mqchoicemenu_moved~[;] 0); self.setvar(~mqchoicemenu_optionlist~[;] 0);
mqfixeqpositions,Internal script for fixing equipment positions,if (self.equipment.length > 0) for (eq in self.equipment) if (eq.ready && (!eq.onceperbattle # !eq.usedthisbattle) && eq.finalpos != null) {var actFixPositions = new motion.actuators.SimpleActuator(eq[;] 0.75[;] {x: eq.finalpos.x[;] y: eq.finalpos.y}); actFixPositions.move();}
