Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
alternate_fire,Burn?,fire,Burning dice can be used on equipment[;] but will disable that|equipment for the rest of the turn[;] and for the next turn.,YES,YES,NO,NO,YES,,,,,,,,,,,
alternate_fire_all,Burn_all?,fire,Burning dice can be used on equipment[;] but will disable that|equipment for the rest of the turn[;] and for the next turn.,NO,YES,NO,NO,YES,,,,,,,,,,,
alternate_shock,Shocked?,shock,Temporarily disables random equipment.|Costs [heart]3[] hp to unshock.,YES,YES,NO,NO,YES,,,,,,,,,,,
alternate_weaken,Weaken?,weaken,Take [sword]<value> extra damage from each attack.|([sword]1 per each point of weaken inflicted.),YES,YES,NO,NO,YES,,,,,,,,,,,
alternate_silence,Silence?,silence,Limit break is less powerful.,NO,YES,NO,NO,YES,,,,,,,,,,,
alternate_blind,Blind?,blind,Cannot see remaining health.,YES,NO,NO,NO,YES,,,,,,,,,,,
alternate_poison,Poison?,poison,A random piece of equipment is poisoned. Reduce the|countdown to zero by the end of the turn[;] or take damage.,YES,NO,NO,NO,YES,,,,,,,,,,,
alternate_fury,Fury?,fury,The next equipment will be used twice[;] but|cannot be used next turn.,YES,NO,NO,NO,NO,,,,,,,,,,,
alternate_curse,Cursed?,curse,All equipment has a 50% chance to switch target.|Disappears once triggered.,YES,YES,NO,NO,YES,,,,,,,,,,,
alternate_confuse,Confuse?,confuse,Cannot see the dice values.,YES,YES,NO,NO,YES,,,,,,,,,,,
alternate_shield,Shield?,shield,Restores [heart]<value> health at the start of your next turn.|([shield] disappears after healing.),YES,NO,NO,NO,NO,,,,,,,,,,,
alternate_dodge,Dodge?,dodge,50% chance to avoid the next attack[;] lasts until|something triggers it.,NO,NO,YES,NO,NO,,,,,,,,,,,
alternate_reequipnext,Re-Equip_Next?,recycle,The next dice you use can be used again on this turn.,YES,YES,NO,NO,NO,,,,,,,,,,,
alternate_reduce,Reduce_by?,reduce,Block the next status effect.,YES,NO,YES,NO,NO,,,,,,,,,,,
alternate_lock,Locked?,lock,Locked dice need to be used in the order they are rolled[;]|before you can use any other dice.,YES,YES,NO,NO,YES,,,,,,,,,,,
alternate_survive,Survive?,curse,Cannot be killed by anything. Counter reduces by one on|each turn. If it reaches zero[;] you die.,YES,NO,NO,NO,NO,,,,,,,,,,,
alternate_vampire,Vampire?,curse,Restore all health when defeated[;] once.,NO,NO,NO,NO,YES,,,,,,,,,,,
alternate_thorns,Thorns?,thorns,Restore [heal]<value> health with each attack this turn.|([heal]1 for each [thorns] thorn.),YES,NO,YES,NO,NO,,,,,,,,,,,
alternate_dice_trigger_1,Dice_Trigger_1?,dice,Roll an extra 1 next turn if the enemy rolls a 1.,NO,NO,YES,NO,NO,,,,,,,,,,,
alternate_dice_trigger_2,Dice_Trigger_2?,dice,Roll an extra 2 next turn if the enemy rolls a 2.,NO,NO,YES,NO,NO,,,,,,,,,,,
alternate_dice_trigger_3,Dice_Trigger_3?,dice,Roll an extra 3 next turn if the enemy rolls a 3.,NO,NO,YES,NO,NO,,,,,,,,,,,
alternate_dice_trigger_4,Dice_Trigger_4?,dice,Roll an extra 4 next turn if the enemy rolls a 4.,NO,NO,YES,NO,NO,,,,,,,,,,,
alternate_dice_trigger_5,Dice_Trigger_5?,dice,Roll an extra 5 next turn if the enemy rolls a 5.,NO,NO,YES,NO,NO,,,,,,,,,,,
alternate_dice_trigger_6,Dice_Trigger_6?,dice,Roll an extra 6 next turn if the enemy rolls a 6.,NO,NO,YES,NO,NO,,,,,,,,,,,
alternate_counter_1,Counter_1?,lock,All enemy dice that roll 1 must be used first.,NO,YES,NO,NO,YES,,,,,,,,,,,
alternate_counter_2,Counter_2?,lock,All enemy dice that roll 2 must be used first.,NO,YES,NO,NO,YES,,,,,,,,,,,
alternate_counter_3,Counter_3?,lock,All enemy dice that roll 3 must be used first.,NO,YES,NO,NO,YES,,,,,,,,,,,
alternate_counter_4,Counter_4?,lock,All enemy dice that roll 4 must be used first.,NO,YES,NO,NO,YES,,,,,,,,,,,
alternate_counter_5,Counter_5?,lock,All enemy dice that roll 5 must be used first.,NO,YES,NO,NO,YES,,,,,,,,,,,
alternate_counter_6,Counter_6?,lock,All enemy dice that roll 6 must be used first.,NO,YES,NO,NO,YES,,,,,,,,,,,
againstallodds,Against_All _Odds,dice,Survive all fatal blows until your next turn.,NO,NO,NO,YES,NO,,,,,,,,,,,
beartransform,Bear_Transform,potion,Counter reduces by one on each turn.|If it reaches zero[;] transform into a bear.,YES,NO,NO,NO,YES,,,,,,,,,,,
extradamage,Extra,sword,Do [sword]<value> extra damage with each attack this turn.,YES,NO,NO,NO,YES,,,,,,,,,,,
reflectexcess,Reflect,sword,If defeated[;] reflect any excessive damage back at you.,NO,NO,NO,NO,NO,,,,,,,,,,,
cannotseeenemyhealth,Cannotseeenemyhealth,blind,(should not appear),NO,NO,NO,YES,NO,,,,,,,,,,,
vanish,Vanish_all,vanish,Duplicate dice are immediately destroyed.,NO,YES,NO,NO,YES,if(getstatusself(~ncr_vanish~) > 0) { trace(~removing stack vanish~); var tw = new motion.actuators.SimpleActuator(null|0.01|null); var s = new elements.Skill(~Against all odds_old~); s.script = ~  removestatusself(\~ncr_vanish\~|ALL); removestatusself(VANISH); inflictself(VANISH); ~; tw.onComplete(s.execute|[self|target]); tw.move(); } /*this won't cause an infinite 'when inflicted' loop because it needs ncr_vanish to be more than 0*/,,,,,,,,,,
robotblinded,RobotIsBlinded,blind,(should not appear),NO,YES,YES,YES,NO,,,,,,,,,,,
crystalinaremix,CrystalinaRemix,mana,(should not appear),NO,NO,NO,YES,NO,,,,,,,,,,,
crystalinaremix_stash,Keep_Unused_Dice,dice,Stash some dice for next turn.,NO,NO,YES,NO,NO,,,,,,,,,,,
bindshocktoweaken,bindshocktoweaken,dice,(should not appear),NO,NO,NO,YES,NO,,if(inflicted_type == ~weaken~ # inflicted_type == ~alternate_weaken~) { inflictself(~shock~|inflicted_value); },,,,,,,,,
bindweakentopoison,bindweakentopoison,dice,(should not appear),NO,NO,NO,YES,NO,,,if(self.hasstatus(POISON)) inflictself(WEAKEN);,,,,,,,,
