Name,Description,Image,ImageOffset,Rule Change,Apply On Continue
Rat King,Add two super enemies.,ratking,-60|-10,Rules.addsuperenemies(2);,YES
Kraken,Cannot see enemy health after|the first turn.,kraken,-80|-60,Rules.addextrascript(~if(turn == 1 && target.hp > 0) { inflict(\~cannotseeenemyhealth\~); sfx(\~_blind\~); }~[;] ~endturn~);,YES
Hothead,If you or your enemy rolls a six[;] it|automatically catches on fire.,hothead,-30|-20,Rules.ignitedice = true; Rules.igniterange = [6];,YES
Pirate,Both you and your enemies start each|fight with [recycle]Re-Equip_Next[].,pirate,-40|-60,Rules.addplayerinnatestatus(REEQUIPNEXT[;] 1[;] true); Rules.addenemyinnatestatus(REEQUIPNEXT[;] 1[;] true); ,YES
Rotten Apple,Maximum health no longer increases|when you level up.,applemimic,0|0,Rules.hpchangeonlevelup = 0;,YES
The Inventor,Reduce scrap choices to two. The|second choice is hidden.,_inventor,-90|-40,Rules.inventor_blindinspiration = true;,YES
Marshmallow,Swap all [fire]Fire equipment for [ice]Ice|equipment[;] and vice versa.,marshmallow,10|-10,var database = loaddata(~diceydungeons/remixes/marshmallow~); trace(database); for(eq in database) Rules.swap(eq.fire_equipment[;] eq.ice_equipment);,YES
Space Marine,Enemies countdowns reduce at|double the normal rate.,spacemarine,-30|-10,Rules.enemycountdownrate = 2;,YES
Wizard,All enemies get an extra dice.,wizard,-50|-20,Rules.addextrascript(~target.extradice = 1;~[;] ~startcombat~); ,YES
Beatrice,On your first turn[;] all of your|equipment is [shock]Shocked.,queenbee,-40|-30,Rules.addplayerinnatestatus(SHOCK[;] 6[;] true);,YES
Keymaster,You can't make more than six|moves per turn.,keymaster,-30|-40,Rules.movelimit = 6;,YES
Crystalina,Keep unused dice until your next turn.|Lose [heart]1 hp for each dice you keep.,crystalina,-10|0,Rules.addplayerinnatestatus(~crystalinaremix~[;]1[;]false);,YES
Frog,Any enemy can potentially be the|boss of the dungeon.,frog,-80|-40,runscript(~diceydungeons/remixes/frog~[;] loadtext(~diceydungeons/remixes/frog_excludelist~));,YES
The Witch,One spell slot contains a completely|random spell each turn.,_witch,-90|-30,runscript(~diceydungeons/remixes/thewitch~);,YES
Wicker Man,Instead of causing damage[;] burning|dice disables equipment.,wickerman,10|-20,if(!Rules.hasalternate(~fire~)){Rules.setalternate(~fire~);} else{Rules.alternatestatus.remove(~fire~);},YES
Yeti,Instead of setting dice to 1[;]|[ice]Freeze reduces all dice by 1.,yeti,-60|0,if(!Rules.hasalternate(~ice~)){Rules.setalternate(~ice~);} else{Rules.alternatestatus.remove(~ice~);},YES
Gardener,[shock]Shock costs health instead of dice.|[weaken]Weaken[] also inflicts [shock]Shock[].,gardener,-60|-10,if(!Rules.hasalternate(~shock~)){Rules.setalternate(~shock~);} else{Rules.alternatestatus.remove(~shock~);} Rules.addplayerinnatestatus(~bindshocktoweaken~); Rules.addenemyinnatestatus(~bindshocktoweaken~); ,YES
Drain Monster,When [poison]Poison deals damage[;] it also|inflicts [weaken]1 weaken.,sewermonster,0|0,Rules.addplayerinnatestatus(~bindweakentopoison~); Rules.addenemyinnatestatus(~bindweakentopoison~);,YES
Rhino Beetle,Take [heart]2 damage at the start of each|turn[;] unless your limit break is full.,beetlewarrior,-10|-50,Rules.addextrascript(~if(self.limitvalue < self.limitmax) attackself(2);~[;]~onstartturn~);,YES
Magician,At the start of your turn[;] change the|dice requirements for a random item.,streetmagician,-30|-60,runscript(~diceydungeons/remixes/magician~);,YES
The Robot,Switch to ~You Choose[;] You Lose~|rules.,_robot,-90|-20,runscript(~diceydungeons/remixes/therobot~);,YES
Banshee?,Instead of reversing your target[;]|[curse]Curse[] causes equipment to fail.,banshee,-20|0,if(!Rules.hasalternate(~curse~)){Rules.setalternate(~curse~);} else{Rules.alternatestatus.remove(~curse~);},YES
Warlock?,Status effects are… different?,warlock,-70|-50,for(x in [~poison~|~fire~|~ice~|~shock~|~thorns~|~fury~|~lock~|~blind~|~confuse~|~weaken~|~silence~|~shield~|~dodge~|~survive~|~reequipnext~|~reduce~|~dice_trigger_1~|~dice_trigger_2~|~dice_trigger_3~|~dice_trigger_4~|~dice_trigger_5~|~dice_trigger_6~|~counter_1~|~counter_2~|~counter_3~|~counter_4~|~counter_5~|~counter_6~|~curse~]){if(!Rules.hasalternate(x)){Rules.setalternate(x);} else{Rules.alternatestatus.remove(x);}},YES
Wicker Man?,Instead of disabling equipment[;]|burning dice cause damage.,wickerman,10|-20,if(!Rules.hasalternate(~fire~)){Rules.setalternate(~fire~);} else{Rules.alternatestatus.remove(~fire~);},YES
Yeti?,Instead of reducing all dice by 1[;]|[ice]Freeze sets a die's value to 1.,yeti,-60|0,if(!Rules.hasalternate(~ice~)){Rules.setalternate(~ice~);} else{Rules.alternatestatus.remove(~ice~);},YES
Gardener?,[shock]Shock costs dice instead of health.|[weaken]Weaken[] also inflicts [shock]Shock[].,gardener,-60|-10,if(!Rules.hasalternate(~shock~)){Rules.setalternate(~shock~);} else{Rules.alternatestatus.remove(~shock~);} Rules.addplayerinnatestatus(~bindshocktoweaken~); Rules.addenemyinnatestatus(~bindshocktoweaken~); ,YES
