Name,Health,Voice,CombatAnimation,CombatAnimationOffset,OverworldAnimation,OverworldAnimationOffset,VfxOffset,BossScreenPosition,Dice,Level,Equipment,Super Equipment,Super Dice,Super Health,Super?,Boss?,Rare?,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Innate,AI,Chat Voice,Chat Style,Always say First Words?,First Words,Always say Last Words?,Last Words 1,Last Words 2,Last Words 3,Last Words (if they win),Last Words Endgame
Cactus?,32,cactus,cactus_warrior,-90|80,cactuswarrior,-20|0,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Chipmine,32,cactus,cactus_warrior,-90|80,ncrchipmine,-25|-25,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Aoife[],56,voiceovers/aoife,knight,40|-20,knight,-70|-10,-60|-20,982|515,5,1000,Tower Shield|Broadsword|Charge!,Shield Bash|Tower Shield,1,12,NO,YES,NO,,,,,,,,chat_monster1,boss_1_10,YES,,NO,,,,,
Aoife?,56,voiceovers/aoife,knight,40|-20,knight,-70|-10,-60|-20,982|515,5,1000,Tower Shield|Broadsword|Charge!,Shield Bash|Tower Shield,1,12,NO,YES,NO,,,,,,,,chat_monster1,boss_1_10,YES,,NO,,,,,
Haunted Jar[],34,voiceovers/haunted_jar,haunted_jar,50|-90,hauntedjar,0|0,-135|-20,1054|630,4,1000,Poison Cloud|Blight,Poison Cloud|Poison Cloud|Blight,1,8,YES,NO,NO,,,,,,strongpoison,,chat_monster2,looping,NO,,NO,......... doomed ......... you ......... remember .........,...... even ............ was once .................. trapped ...... eternity ........,,,
Haunted Jar?,34,voiceovers/haunted_jar,haunted_jar,50|-90,hauntedjar,0|0,-135|-20,1054|630,4,1000,Poison Cloud|Blight,Poison Cloud|Poison Cloud|Blight,1,8,YES,NO,NO,,,,,,strongpoison,,chat_monster2,looping,NO,,NO,......... doomed ......... you ......... remember .........,...... even ............ was once .................. trapped ...... eternity ........,,,
Gardener[],12,voiceovers/gardener,gardener,70|-80,gardener,-60|-10,-40|-40,942|670,2,1000,Shovel,Shovel|Shovel,1,12,YES,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Don't you go poking around in my mushrooms!||It's taken me eighty-three years to get them this soggy! ,Yeah[;] get out of here then!||And don't you DARE pick my raspberries[;] they're|for ME and MY FRIENDS and NOT for thoughtless|adventurers!,,,WATCH OUT FOR THE PEAS!||You'd think the gardening would go better now that we've got a|skylight in[;] but that space marine just keeps coming to gaze up|at the moon and TRAMPLING them again!
Gardener?,12,voiceovers/gardener,gardener,70|-80,gardener,-60|-10,-40|-40,942|670,2,1000,Shovel,Shovel|Shovel,1,12,YES,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Don't you go poking around in my mushrooms!||It's taken me eighty-three years to get them this soggy! ,Yeah[;] get out of here then!||And don't you DARE pick my raspberries[;] they're|for ME and MY FRIENDS and NOT for thoughtless|adventurers!,,,WATCH OUT FOR THE PEAS!||You'd think the gardening would go better now that we've got a|skylight in[;] but that space marine just keeps coming to gaze up|at the moon and TRAMPLING them again!
Wicker Man[],44,voiceovers/wicker_man,wickerman,-130|40,wickerman,10|-20,-80|-60,997|585,3,1000,Wicker Staff|Venus Fly Trap,Burning Light|First Aid Kit|Venus Fly Trap,2,8,YES,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,Ah don't feel bad[;] mate! I'll just weave|myself back together again...,Maybe this time I'll weave myself longer legs!||Ah[;] it's great to be made of wicker[;] you should try it!,Hmm. Being a wicker man isn't working for me.||Maybe I'll try being a wicker golden retriever instead...,,Great that you're still around[;] mate!||Every fight's a chance to weave myself up again!|Gonna go for huuuuuge ears this time I reckon.
Wicker Man?,44,voiceovers/wicker_man,wickerman,-130|40,wickerman,10|-20,-80|-60,997|585,3,1000,Wicker Staff|Venus Fly Trap,Burning Light|First Aid Kit|Venus Fly Trap,2,8,YES,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,Ah don't feel bad[;] mate! I'll just weave|myself back together again...,Maybe this time I'll weave myself longer legs!||Ah[;] it's great to be made of wicker[;] you should try it!,Hmm. Being a wicker man isn't working for me.||Maybe I'll try being a wicker golden retriever instead...,,Great that you're still around[;] mate!||Every fight's a chance to weave myself up again!|Gonna go for huuuuuge ears this time I reckon.
Robobot[],12,voiceovers/robobot,robobot,-80|-20,robobot,-70|-50,20|0,933|613,3,1000,Ray Gun,Plasma Blaster|Plasma Blaster|Plasma Blaster|Plasma Blaster,0,12,YES,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Pew! Pew-pew-pew pew!||I'll get you next time[;] you big dice!|BZZZT! Pew-pew-pew-pew!,Pew PEW pew PEW pew PEW!||BZZZZZZZZZT!,,,
Robobot?,12,voiceovers/robobot,robobot,-80|-20,robobot,-70|-50,20|0,933|613,3,1000,Ray Gun,Plasma Blaster|Plasma Blaster|Plasma Blaster|Plasma Blaster,0,12,YES,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Pew! Pew-pew-pew pew!||I'll get you next time[;] you big dice!|BZZZT! Pew-pew-pew-pew!,Pew PEW pew PEW pew PEW!||BZZZZZZZZZT!,,,
Randomizer,32,cactus,cactus_warrior,-90|80,robot,-70|-70,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Thievery,32,cactus,cactus_warrior,-90|80,thief,-90|-30,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Heroic Robot,32,cactus,cactus_warrior,-90|80,robot,-70|-70,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Heroic Inventor?,32,cactus,cactus_warrior,-90|80,inventor,-90|-30,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Jester[],32,cactus,cactus_warrior,-90|80,jester,-40|-50,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Jester?,32,cactus,cactus_warrior,-90|80,jester,-40|-50,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Jester[]_downgraded,32,cactus,cactus_warrior,-90|80,jester,-40|-50,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Jester?_downgraded,32,cactus,cactus_warrior,-90|80,jester,-40|-50,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Cactus[]_downgraded,32,cactus,cactus_warrior,-90|80,cactuswarrior,-20|0,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Wolf Puppy?_downgraded,12,wolf_puppy,wolf_puppy,-50|-40,wolfpuppy,0|0,-120|0,1017|580,3,1000,Sword,Sword,1,12,NO,NO,NO,,,,,,,,chat_monster1,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Wisp[]_downgraded,42,wisp,wisp,-40|40,wisp,20|-60,-40|-100,991|645,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Wisp?_downgraded,42,wisp,wisp,-40|40,wisp,20|-60,-40|-100,991|645,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,THANX FOR PLAYING||YOU'RE NOT SUPPOSED TO BE SEEING THIS,NO,,,,,
Wolf Puppy[]_downgraded,12,wolf_puppy,wolf_puppy,-50|-40,wolfpuppy,0|0,-120|0,1017|580,3,1000,Sword,Sword,1,12,NO,NO,NO,,,,,,,,chat_monster1,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Alchemist[]_downgraded,28,voiceovers/alchemist,potion_mixer,-70|20,potionmixer,-20|-70,-60|-100,1017|604,3,1000,Spiky Potion|Toxic Potion|Fire Potion|Bear Potion,Bear Potion,0,6,YES,NO,YES,,,,,,,,chat_monster1,looping,NO,,NO,*sighs* I had a really good potion coming up. What a waste.,Yet again the fight ends before I get to use my best stuff.|Honestly[;] these Dungeons.,This potion was going to blow your mind! Literally!||I only had to boil it for thirty more seconds|and it would have been perfect. ,,
Alchemist?_downgraded,28,voiceovers/alchemist,potion_mixer,-70|20,potionmixer,-20|-70,-60|-100,1017|604,3,1000,Spiky Potion|Toxic Potion|Fire Potion|Bear Potion,Bear Potion,0,6,YES,NO,YES,,,,,,,,chat_monster1,looping,NO,,NO,*sighs* I had a really good potion coming up. What a waste.,Yet again the fight ends before I get to use my best stuff.|Honestly[;] these Dungeons.,This potion was going to blow your mind! Literally!||I only had to boil it for thirty more seconds|and it would have been perfect. ,,
Cactus?_downgraded,32,cactus,cactus_warrior,-90|80,cactuswarrior,-20|0,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Chipmine_downgraded,32,cactus,cactus_warrior,-90|80,ncrchipmine,-25|-25,-120|-80,1036|585,3,1000,Sword,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,YES,YOU'RE NOT SUPPOSED TO BE SEEING THIS||WHAT IS GOING ON I DON'T UNDERSTAND,NO,,,,,
Aoife[]_downgraded,56,voiceovers/aoife,knight,40|-20,knight,-70|-10,-60|-20,982|515,5,1000,Tower Shield|Broadsword|Charge!,Shield Bash|Tower Shield,1,12,NO,YES,NO,,,,,,,,chat_monster1,boss_1_10,YES,,NO,,,,,
Aoife?_downgraded,56,voiceovers/aoife,knight,40|-20,knight,-70|-10,-60|-20,982|515,5,1000,Tower Shield|Broadsword|Charge!,Shield Bash|Tower Shield,1,12,NO,YES,NO,,,,,,,,chat_monster1,boss_1_10,YES,,NO,,,,,
Haunted Jar[]_downgraded,34,voiceovers/haunted_jar,haunted_jar,50|-90,hauntedjar,0|0,-135|-20,1054|630,4,1000,Poison Cloud|Blight,Poison Cloud|Poison Cloud|Blight,1,8,YES,NO,NO,,,,,,strongpoison,,chat_monster2,looping,NO,,NO,......... doomed ......... you ......... remember .........,...... even ............ was once .................. trapped ...... eternity ........,,,
Haunted Jar?_downgraded,34,voiceovers/haunted_jar,haunted_jar,50|-90,hauntedjar,0|0,-135|-20,1054|630,4,1000,Poison Cloud|Blight,Poison Cloud|Poison Cloud|Blight,1,8,YES,NO,NO,,,,,,strongpoison,,chat_monster2,looping,NO,,NO,......... doomed ......... you ......... remember .........,...... even ............ was once .................. trapped ...... eternity ........,,,
Gardener[]_downgraded,12,voiceovers/gardener,gardener,70|-80,gardener,-60|-10,-40|-40,942|670,2,1000,Shovel,Shovel|Shovel,1,12,YES,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Don't you go poking around in my mushrooms!||It's taken me eighty-three years to get them this soggy! ,Yeah[;] get out of here then!||And don't you DARE pick my raspberries[;] they're|for ME and MY FRIENDS and NOT for thoughtless|adventurers!,,,WATCH OUT FOR THE PEAS!||You'd think the gardening would go better now that we've got a|skylight in[;] but that space marine just keeps coming to gaze up|at the moon and TRAMPLING them again!
Gardener?_downgraded,12,voiceovers/gardener,gardener,70|-80,gardener,-60|-10,-40|-40,942|670,2,1000,Shovel,Shovel|Shovel,1,12,YES,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Don't you go poking around in my mushrooms!||It's taken me eighty-three years to get them this soggy! ,Yeah[;] get out of here then!||And don't you DARE pick my raspberries[;] they're|for ME and MY FRIENDS and NOT for thoughtless|adventurers!,,,WATCH OUT FOR THE PEAS!||You'd think the gardening would go better now that we've got a|skylight in[;] but that space marine just keeps coming to gaze up|at the moon and TRAMPLING them again!
Wicker Man[]_downgraded,44,voiceovers/wicker_man,wickerman,-130|40,wickerman,10|-20,-80|-60,997|585,3,1000,Wicker Staff|Venus Fly Trap,Burning Light|First Aid Kit|Venus Fly Trap,2,8,YES,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,Ah don't feel bad[;] mate! I'll just weave|myself back together again...,Maybe this time I'll weave myself longer legs!||Ah[;] it's great to be made of wicker[;] you should try it!,Hmm. Being a wicker man isn't working for me.||Maybe I'll try being a wicker golden retriever instead...,,Great that you're still around[;] mate!||Every fight's a chance to weave myself up again!|Gonna go for huuuuuge ears this time I reckon.
Wicker Man?_downgraded,44,voiceovers/wicker_man,wickerman,-130|40,wickerman,10|-20,-80|-60,997|585,3,1000,Wicker Staff|Venus Fly Trap,Burning Light|First Aid Kit|Venus Fly Trap,2,8,YES,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,Ah don't feel bad[;] mate! I'll just weave|myself back together again...,Maybe this time I'll weave myself longer legs!||Ah[;] it's great to be made of wicker[;] you should try it!,Hmm. Being a wicker man isn't working for me.||Maybe I'll try being a wicker golden retriever instead...,,Great that you're still around[;] mate!||Every fight's a chance to weave myself up again!|Gonna go for huuuuuge ears this time I reckon.
Robobot[]_downgraded,12,voiceovers/robobot,robobot,-80|-20,robobot,-70|-50,20|0,933|613,3,1000,Ray Gun,Plasma Blaster|Plasma Blaster|Plasma Blaster|Plasma Blaster,0,12,YES,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Pew! Pew-pew-pew pew!||I'll get you next time[;] you big dice!|BZZZT! Pew-pew-pew-pew!,Pew PEW pew PEW pew PEW!||BZZZZZZZZZT!,,,
Robobot?_downgraded,12,voiceovers/robobot,robobot,-80|-20,robobot,-70|-50,20|0,933|613,3,1000,Ray Gun,Plasma Blaster|Plasma Blaster|Plasma Blaster|Plasma Blaster,0,12,YES,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Pew! Pew-pew-pew pew!||I'll get you next time[;] you big dice!|BZZZT! Pew-pew-pew-pew!,Pew PEW pew PEW pew PEW!||BZZZZZZZZZT!,,,
