Name,Description,Image,ImageOffset,Rule Change,Apply On Continue
Sticky Hands (MQ),Lose [gold]4 gold.,stickyhands,-90|10,self.gold -= 4; if (self.gold < 0) self.gold = 0;,NO
Mimic (MQ),A random piece of equipment is|unavailable every turn.,mimic,,Rules.addextrascript(~var myEquipment = []; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.availablenextturn && eq.skillcard == \~\~) myEquipment.push(eq); if (myEquipment.length > 0) {var eq = rand(myEquipment); eq.availablenextturn = false; eq.unavailabledetails = [\~Disabled by:\~[;] \~Mimic rule\~];}~[;] ~startcombat~); Rules.addextrascript(~var myEquipment = []; var enemyEquipment = []; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.availablenextturn && eq.skillcard == \~\~) myEquipment.push(eq); if (target.equipment.length > 0) for (eq in target.equipment) if (eq.availablenextturn && eq.skillcard == \~\~) enemyEquipment.push(eq); if (myEquipment.length > 0) {var eq = rand(myEquipment); eq.availablenextturn = false; eq.unavailabledetails = [\~Disabled by:\~[;] \~Mimic rule\~];} if (enemyEquipment.length > 0) {var eq = rand(enemyEquipment); eq.availablenextturn = false; eq.unavailabledetails = [\~Disabled by:\~[;] \~Mimic rule\~];}~[;] ~endturn~);,NO
Baby Squid (MQ),All dice are [blind]Blinded|on the first turn.,squid,30|0,Rules.addplayerinnatestatus(~alternate_confuse~[;] 1[;] true); Rules.addplayerinnatestatus(~blind~[;] 1[;] true); Rules.addenemyinnatestatus(~alternate_confuse~[;] 1[;] true);,YES
Haunted Jar (MQ),You gain [poison]1 poison every turn.,hauntedjar,0|0,Rules.playerpoisondelta = 1; Rules.addextrascript(~if (getstatusself(POISON) < 1) inflictself(POISON);~[;] ~beforestartturn~);,YES
Paper Knight (MQ),[fire]Burn status is doubled|for everyone.,cardboardwarrior,-90|0,Rules.addextrascript(~if (getstatusself(FIRE) > 0) inflictself(FIRE[;] getstatusself(FIRE));~[;] ~beforestartturn~); Rules.addextrascript(~if (getstatusself(FIRE) > 0) inflictself(FIRE[;] getstatusself(FIRE));~[;] ~endturn~);,YES
Robobot (MQ),You are more likely to roll|4s[;] 5s and 6s.,robobot,-70|-50,Rules.playerdicerange([1[;] 2[;] 3[;] 4[;] 4[;] 5[;] 5[;] 6[;] 6]);,YES
Dire Wolf (MQ),Your equipment is replaced with the|enemy equipment on the first turn.,direwolf,-40|0,Rules.addextrascript(~inflictself(\~mqcursedbite\~); new elements.Skill(\~mqcursedbite\~).execute(target[;] self);~[;] ~startcombat~);,YES
Banshee (MQ),Both fighters are [curse]Cursed and|[silence]Silenced on the first turn.,banshee,-20|0,Rules.addextrascript(~inflict(CURSE); inflictself(CURSE); new elements.Skill(~mqsilence~).execute(self[;] target); new elements.Skill(~mqsilence~).execute(target[;] self);~[;] ~startcombat~);,YES
Madison (MQ),Lose [gold]12 gold. Gain [fury]Fury|for the next 12 turns.,girlscout,-10|-30,self.gold -= 12; if (self.gold < 0) self.gold = 0; if (self.getvar(~mqmadisonfury~) == 0) self.setvar(~mqmadisonfury~[;] 12); Rules.addextrascript(~if (self.getvar(\~mqmadisonfury\~) > 0) {inflictself(FURY); sfx(\~_fury\~[;] \~\~[;] 0.2);} self.setvar(\~mqmadisonfury\~[;] self.getvar(\~mqmadisonfury\~) - 1); if (self.getvar(\~mqmadisonfury\~) <= 0) self.setvar(\~mqmadisonfury\~[;] -99); if (self.getvar(\~mqmadisonfury\~) > 0) inflictself(\~mqmadisonfury\~[;] self.getvar(\~mqmadisonfury\~));~[;] ~onstartturn~);,YES
Bully (MQ),You lose one dice.|Enemies get one dice.,bully,-50|-10,Rules.addextrascript(~self.extradice--; target.extradice++;~[;] ~startcombat~);,YES
Skeleton (MQ),25% chance to get [lock]1 Lock|at the start of each turn.,skeleton,-20|-80,Rules.addextrascript(~if (chance(25)) {inflictself(LOCK); sfx(\~_lock\~[;] \~\~[;] 0.2);}~[;] ~beforestartturn~); Rules.addextrascript(~if (chance(25)) {inflictself(LOCK); sfx(\~_lock\~[;] \~\~[;] 0.2);}~[;] ~endturn~);,YES
Cornelius (MQ),Die after your 6th turn.,cornelius,0|-40,Rules.addextrascript(~if (turn > 6) pierceattackself(self.hp);~[;] ~onstartturn~);,YES
Cowboy (MQ),Enemies are more likely to roll a 6.,cowboy,10|0,Rules.enemydicerange([1[;] 2[;] 3[;] 4[;] 5[;] 6[;] 6[;] 6[;] 6]);,YES
Handyman (MQ),[shock]Shocked equipment costs health|instead of dice.,handyman,-30|-10,Rules.setalternate(~shock~);,YES
Wizard (MQ),All enemies get Hall of Mirrors.,wizard,-50|-20,Rules.addextrascript(~if (target.spaceleft() >= 1) giveenemyequipment(\~Hall of Mirrors\~[;] false[;] false);~[;] ~startcombat~);,YES
Warlock (MQ),The boss enemy gets a|blessing every turn.,warlock,-70|-50,Rules.addextrascript(~if (target.level >= 6) {if (target.getvar(\~mqwarlockremix_script_injected\~) != 1) {target.setvar(\~mqwarlockremix_script_injected\~[;] 1); target.scriptbeforestartturn += \~ var blessings = [SHIELD[;] REDUCE[;] DODGE]; if (getstatusself(FURY) <= 0) blessings.push(FURY); var randomstatus = rand(blessings); var a = 1; if (randomstatus == SHIELD) a = 4; if (randomstatus == REDUCE) a = 2; inflictself(randomstatus[;] a); sfx(\\\~_\\\~ + randomstatus.toLowerCase()[;] \\\~\\\~[;] 0.2);\~;}}~[;] ~beforestartturn~);,YES
Alchemist (MQ),Transform into a bear.,potionmixer,-20|-70,beartransform();,NO
Space Marine (MQ),Enemy rolls add up to 10.,spacemarine,-30|-10,Rules.addextrascript(~var totaldice = (self.dice + self.extradice); var divvalue = 10 / totaldice; var newdice = []; for (i in 0...totaldice) newdice.push(divvalue); if ((totaldice % 2) != 0) newdice[0]++; if (totaldice <= 1) newdice = [6]; Rules.stackenemydice([newdice]);~[;] ~endturn~);,YES
Bounty Hunter (MQ),Get [gold]1 extra gold if you defeat|the enemy in under 4 turns.,bountyhunter,-20|0,Rules.addextrascript(~if ((turn - 1) < 4) {self.gold++; sfx(\~stealgold\~); self.textparticle(\~[gold]+1!\~); screenshake();}~[;] ~aftercombat~);,YES
Rose (MQ),Enemies start each battle|with [thorns]Thorns.,rose,-20|-40,Rules.addenemyinnatestatus(THORNS[;] 1[;] true);,YES
Cactus (MQ),Everyone gets [thorns]1 thorn per [shield]3|shield at the end of their turn.,cactuswarrior,-20|0,Rules.addextrascript(~if (getstatus(SHIELD) > 0) inflict(THORNS[;] getstatus(SHIELD) / 3);~[;] ~endturn~); Rules.addextrascript(~if (getstatus(SHIELD) > 0) inflict(THORNS[;] getstatus(SHIELD) / 3);~[;] ~onstartturn~);,YES
Frog (MQ),Small equipment becomes weakened|for everyone.,frog,-80|-40,Rules.addextrascript(~for (eq in self.equipment) if (eq.skillcard == \~\~) if (eq.size == 1) eq.animate(\~weaken\~);~[;] ~onstartturn~); Rules.addextrascript(~for (eq in self.equipment) if (eq.skillcard == \~\~) if (eq.size == 1) eq.animate(\~weaken\~);~[;] ~endturn~);,YES
Slime (MQ),Fighters lose one dice|when poisoned.,slime,10|-20,var scr = ~if (getstatusself(POISON) > 0 && self.getvar(\~mqslimeremix\~) != 1) {self.setvar(\~mqslimeremix\~[;] 1); self.extradice--;} else if (getstatusself(POISON) <= 0 && self.getvar(\~mqslimeremix\~) == 1) {self.setvar(\~mqslimeremix\~[;] 0); self.extradice++;}~; Rules.addextrascript(scr[;] ~beforestartturn~); Rules.addextrascript(scr[;] ~endturn~);,YES
Wisp (MQ),On the first turn[;] roll 2 extra|dice and get [vanish]Vanish.,wisp,20|-60,Rules.addextrascript(~self.extradice += 2; inflictself(VANISH); self.setvar(\~mqwispremix\~[;] 1);~[;] ~startcombat~); Rules.addextrascript(~if (target.getvar(\~mqwispremix\~) == 1) {target.setvar(\~mqwispremix\~[;] 0); target.extradice -= 2;}~[;] ~endturn~);,YES
Sneezy (MQ),Countdown equipment is upgraded|for everyone.,sneezey,-20|-10,Rules.addextrascript(~var upgradeeq = []; for (eq in self.equipment) if (eq.skillcard == \~\~ && eq.countdown > 0 && !eq.originallyupgraded && !eq.upgraded) upgradeeq.push(eq); for (eq in target.equipment) if (eq.skillcard == \~\~ && eq.countdown > 0 && !eq.originallyupgraded && !eq.upgraded) upgradeeq.push(eq); for (eq in upgradeeq) eq.create(eq.name[;] true);~[;] ~startcombat~); Rules.addextrascript(~var upgradeeq = []; for (eq in self.equipment) if (eq.skillcard == \~\~ && eq.countdown > 0 && !eq.originallyupgraded && !eq.upgraded) upgradeeq.push(eq); for (eq in target.equipment) if (eq.skillcard == \~\~ && eq.countdown > 0 && !eq.originallyupgraded && !eq.upgraded) upgradeeq.push(eq); for (eq in upgradeeq) eq.create(eq.name[;] true);~[;] ~beforestartturn~); Rules.addextrascript(~var upgradeeq = []; for (eq in self.equipment) if (eq.skillcard == \~\~ && eq.countdown > 0 && !eq.originallyupgraded && !eq.upgraded) upgradeeq.push(eq); for (eq in target.equipment) if (eq.skillcard == \~\~ && eq.countdown > 0 && !eq.originallyupgraded && !eq.upgraded) upgradeeq.push(eq); for (eq in upgradeeq) eq.create(eq.name[;] true);~[;] ~endturn~);,YES
Rat King (MQ),Everyone is weak to poison.,ratking,-60|-10,self.innate.push(~weakpoison~); Rules.addextrascript(~target.innate.push(\~weakpoison\~); new elements.Skill(\~mqelementalresistancefixboth\~).execute(self[;] target);~[;] ~startcombat~);,YES
Kraken (MQ),All equipment effects are|randomized on the first turn.,kraken,-80|-60,Rules.addextrascript(~inflict(\~mqinsanity\~[;] 99); inflictself(\~mqinsanity\~[;] 99); new elements.Skill(\~mqinsanity\~).execute(self[;] target); new elements.Skill(\~mqinsanity\~).execute(target[;] self);~[;] ~startcombat~);,YES
Hothead (MQ),All dice are [fire]Burning|on the first turn.,hothead,-30|-20,Rules.addextrascript(~inflict(FIRE[;] ALL); inflictself(FIRE[;] ALL);~[;] ~startcombat~);,YES
Pirate (MQ),At start of boss fight[;] do [sword]2|damage for each [gold]1 gold you have.,pirate,-60|-20,Rules.addextrascript(~if (self.getvar(\~mqpirateshot\~) == 0) {if (target.level >= 6) {if (self.gold > 0) {attack(2 * self.gold); sfxdamage(target[;] 2 * self.gold); sfx(\~stealgold\~[;] \~\~[;] 0.2); self.setvar(\~mqpirateshot\~[;] 1);}}}~[;] ~onstartturn~);,YES
Rotten Apple (MQ),Everyone loses 50% health.,applemimic,0|0,Rules.enemyhpadjust = 0.5; Rules.hpchangeonlevelup = 2; if (self.getvar(~rotten_apple_applied~) != 1) {self.hp /= 2; self.maxhp /= 2; self.setvar(~rotten_apple_applied~[;] 1);},YES
Copycat (MQ),Randomize your current loadout.,copycat,0|0,for (eq in self.equipment) if (eq.skillcard == ~~) {var randomized = false; var size = eq.size; var category = eq.category; while (!randomized) {eq.create(rand(getequipment())[;] eq.upgraded); if (eq.size == size && eq.category == category) randomized = true;}},NO
Marshmallow (MQ),[fire]Burn both on even turns.|[ice]Freeze both on odd turns.,marshmallow,10|-10,Rules.addextrascript(~if ((turn % 2) == 0) {inflictself(FIRE); inflict(FIRE); sfx(\~_fire\~);} else {inflictself(ICE); inflict(ICE); sfx(\~_ice\~);}~[;] ~beforestartturn~);,YES
Stereohead (MQ),Weakened equipment has no effect|for you and the enemies.,stereohead,0|0,Rules.addextrascript(~for (eq in self.equipment) eq.weakentype = \~noeffect\~;~[;] ~beforestartturn~); Rules.addextrascript(~for (eq in self.equipment) eq.weakentype = \~noeffect\~;~[;] ~endturn~);,YES
Keymaster (MQ),Everyone must use dice in|the order of rolling.,keymaster,-30|-40,Rules.addplayerinnatestatus(~alternate_lock~[;] 99); Rules.addenemyinnatestatus(~alternate_lock~[;] 99);,YES
Aurora (MQ),Every 3 turns[;] everyone gets|[fire][;] [ice][;] [shock][;] and [lock].,weathergoddess,0|0,Rules.addextrascript(~if ((turn % 3) == 0 && target.hp > 0) {var statuses = [FIRE[;] ICE[;] SHOCK[;] LOCK]; for (status in statuses) {inflict(status); inflictself(status);} sfx(\~_multistatus\~);}~[;] ~beforestartturn~);,YES
Dryad (MQ),Enemies drain [heart]1 health every turn.,forestsprite,0|-50,Rules.addextrascript(~drain(1); sfx(\~_drain\~);~[;] ~endturn~);,YES
Gargoyle (MQ),Each equipment use reduces|dice values by 1.,gargoyle,0|0,var scr = ~for (mydice in self.dicepool) if (mydice.available() && !mydice.intween() && mydice.basevalue > 1) {mydice.basevalue--; mydice.animate(\~\~); var anim = mydice.animation[mydice.animation.length - 1]; anim.addcommand(\~flash\~[;] null[;] 0.1); anim.addcommand(\~shake\~[;] null[;] 0[;] -4);}~; Rules.addextrascript(scr[;] ~playerequipmentuse~); Rules.addextrascript(scr[;] ~enemyequipmentuse~);,YES
Crystalina (MQ),One item is locked behind a|countdown at the start of each fight.,crystalina,-10|0,Rules.addextrascript(~inflict(\~mqencase\~); inflictself(\~mqencase\~); new elements.Skill(\~mqencase\~).execute(self[;] target); new elements.Skill(\~mqencase\~).execute(target[;] self);~[;] ~startcombat~);,YES
Rhino Beetle (MQ),Double attack damage.,beetlewarrior,0|0,Rules.addextrascript(~inflictself(\~mqtimeruntilendcombat\~); var actDoubleDamage = new motion.actuators.SimpleActuator(null[;] 0[;] null); actDoubleDamage.repeat(-1); var funcDoubleDamage = new hscript.Parser().parseString(\~if (getstatusself(\\\~mqtimeruntilendcombat\\\~) <= 0 # self.hp <= 0 # target.hp <= 0) actDoubleDamage._repeat = 0; if (target.getvar(\\\~mqrhinobeetleremix_lasthp\\\~) > target.hp) {var dmg = target.getvar(\\\~mqrhinobeetleremix_lasthp\\\~) - target.hp; attack(dmg); sfxdamage(target[;] dmg);} target.setvar(\\\~mqrhinobeetleremix_lasthp\\\~[;] target.hp); if (self.getvar(\\\~mqrhinobeetleremix_lasthp\\\~) > self.hp) {var dmg = self.getvar(\\\~mqrhinobeetleremix_lasthp\\\~) - self.hp; attackself(dmg); sfxdamage(self[;] dmg);} self.setvar(\\\~mqrhinobeetleremix_lasthp\\\~[;] self.hp);\~); var interp = new hscript.Interp(); interp.variables.set(\~self\~[;] self); interp.variables.set(\~target\~[;] target); interp.variables.set(\~attack\~[;] attack); interp.variables.set(\~attackself\~[;] attackself); interp.variables.set(\~sfxdamage\~[;] sfxdamage); interp.variables.set(\~getstatusself\~[;] getstatusself); interp.variables.set(\~actDoubleDamage\~[;] actDoubleDamage); actDoubleDamage.onRepeat(interp.execute[;] [funcDoubleDamage]); actDoubleDamage.move();~[;] ~startcombat~);,YES
Yeti (MQ),Frozen dice are locked.,yeti,0|0,Rules.addextrascript(~inflict(\~mqsubzero\~); inflictself(\~mqsubzero\~); new elements.Skill(\~mqsubzero\~).execute(self[;] target); new elements.Skill(\~mqsubzero\~).execute(target[;] self);~[;] ~beforestartturn~);,YES
Gardener (MQ),Weaken increases the damage you take|instead of weakening equipment.,gardener,0|0,Rules.setalternate(~weaken~);,YES
Magician (MQ),Dice might vanish when using|any piece of equipment.,streetmagician,0|-40,Rules.addextrascript(~var vanished = false; for (mydice in self.dicepool) if (mydice.available() && !mydice.intween() && !vanished && chance(10)) {mydice.animate(\~disappear\~); vanished = true;}~[;] ~playerequipmentuse~); Rules.addextrascript(~var vanished = false; for (mydice in self.dicepool) if (mydice.available() && !mydice.intween() && !vanished && chance(25)) {mydice.animate(\~disappear\~); vanished = true;}~[;] ~enemyequipmentuse~);,YES
Wicker Man (MQ),Enemies recover [heal]2 health every turn.,wickerman,0|-20,Rules.addextrascript(~attackself(-2); sfx(\~_heal\~);~[;] ~endturn~);,YES
Aoife (MQ),Your [yellow]Limit Break[] changes its function|to [quote]block [shield]8 damage[quote].,knight,0|-30,Rules.addextrascript(~self.changelimitbreak(\~Guarding Charm\~);~[;] ~onstartturn~);,YES
Audrey (MQ),Performing 3 attacks in one|turn inflicts [weaken]1 weaken.,weightlifter,-40|0,Rules.addextrascript(~self.setvar(\~audreylasthp\~[;] target.hp);~[;] ~beforestartturn~); Rules.addextrascript(~self.setvar(\~audreylasthp\~[;] target.hp);~[;] ~endturn~); Rules.addextrascript(~if (target.hp < self.getvar(\~audreylasthp\~)) {inflict(\~mqaudreycombo\~); if (getstatus(\~mqaudreycombo\~) >= 3) {removestatus(\~mqaudreycombo\~[;] ALL); inflict(WEAKEN); sfx(\~_weaken\~);}} self.setvar(\~audreylasthp\~[;] target.hp);~[;] ~playerequipmentuse~); Rules.addextrascript(~self.setvar(\~audreylasthp\~[;] target.hp);~[;] ~beforestartturn~); Rules.addextrascript(~if (target.hp < self.getvar(\~audreylasthp\~)) {inflict(\~mqaudreycombo\~); if (getstatus(\~mqaudreycombo\~) >= 3) {removestatus(\~mqaudreycombo\~[;] ALL); inflict(WEAKEN); sfx(\~_weaken\~);}} self.setvar(\~audreylasthp\~[;] target.hp);~[;] ~enemyequipmentuse~);,YES
Beatrice (MQ),Everyone takes [shock]2 damage for each|[shock]Shock inflicted on them.,queenbee,-40|-30,Rules.addextrascript(~if (getstatusself(SHOCK) > 0) {attackself(2 * getstatusself(SHOCK)[;] SHOCK); sfx(\~_shock\~);}~[;] ~beforestartturn~); Rules.addextrascript(~if (getstatusself(SHOCK) > 0) {attackself(2 * getstatusself(SHOCK)[;] SHOCK); sfx(\~_shock\~);}~[;] ~endturn~);,YES
The Warrior (MQ),Enemies get 30% extra health.|No effect on bosses.,_warrior,-90|-20,Rules.addextrascript(~if (target.level < 6) {var extrahealth = target.maxhp * 0.3; target.hp += extrahealth; target.maxhp += extrahealth;}~[;] ~startcombat~);,YES
The Thief (MQ),Enemies go first.,_thief,-90|-20,Rules.addextrascript(~if (target.innate.indexOf(\~goesfirst\~) == -1) target.innate.push(\~goesfirst\~);~[;] ~startcombat~);,YES
The Robot (MQ),Enemies have their rightmost piece|of equipment upgraded (excl. bosses).,_robot,-90|-20,Rules.addextrascript(~if (target.level < 6) {var skillcard = null; if (target.equipment.length > 0) {for (eq in target.equipment) if (skillcard == null # (eq.x >= skillcard.x && eq.skillcard == \~\~)) skillcard = eq; for (eq in target.equipment) if (skillcard == null # (eq.x >= skillcard.x && eq.y >= skillcard.y && eq.skillcard == \~\~)) skillcard = eq;} if (skillcard != null) skillcard.create(skillcard.name[;] true);}~[;] ~startcombat~);,YES
The Inventor (MQ),Enemies get an extra copy of the|rightmost piece of equipment (excl. bosses).,_inventor,-90|-20,Rules.addextrascript(~if (target.level < 6) {var skillcard = null; if (target.equipment.length > 0) {for (eq in target.equipment) if (skillcard == null # (eq.x >= skillcard.x && eq.skillcard == \~\~)) skillcard = eq; for (eq in target.equipment) if (skillcard == null # (eq.x >= skillcard.x && eq.y >= skillcard.y && eq.skillcard == \~\~)) skillcard = eq;} if (skillcard != null) {giveenemyequipment(skillcard.name + skillcard.namemodifier[;] false[;] false);}}~[;] ~startcombat~);,YES
The Witch (MQ),Enemies get an extra dice.|No effect on bosses.,_witch,-90|-20,Rules.addextrascript(~if (target.level < 6) {target.dice++;}~[;] ~startcombat~);,YES
The Jester (MQ),Enemies get a Limit Break.,_jester,-90|-20,Rules.addextrascript(~target.setvar(\~Rules\~[;] Rules); target.setvar(\~mqcustomscript\~[;] {file: \~mqenemylimitbreak\~[;] variables: [{name: \~Rules\~[;] value: Rules}]}); new elements.Skill(\~mqcustomscript\~).execute(target[;] self); target.setvar(\~Rules\~[;] 0);~[;] ~startcombat~);,YES
